rule_code,relation_type,source_product_code,source_selector_json,target_product_code,target_selector_json,allowed,system,height_mm,width_mm,material_code,finish_code,source_document,source_printed_page,source_pdf_page,verification_status,note
ALLOW-KL-60-203,project_selection,KL 60.203,,,,true,KL,60,200,steel,S,KAT_NX_KR 2022.pdf,KR 340,344,verified,Allow-list entry derived from an explicit catalog row
ALLOW-KL-60-303,project_selection,KL 60.303,,,,true,KL,60,300,steel,S,KAT_NX_KR 2022.pdf,KR 340,344,verified,Allow-list entry derived from an explicit catalog row
ALLOW-KL-60-403,project_selection,KL 60.403,,,,true,KL,60,400,steel,S,KAT_NX_KR 2022.pdf,KR 340,344,verified,Allow-list entry derived from an explicit catalog row
ALLOW-KL-60-503,project_selection,KL 60.503,,,,true,KL,60,500,steel,S,KAT_NX_KR 2022.pdf,KR 340,344,verified,Allow-list entry derived from an explicit catalog row
ALLOW-KL-60-603,project_selection,KL 60.603,,,,true,KL,60,600,steel,S,KAT_NX_KR 2022.pdf,KR 340,344,verified,Allow-list entry derived from an explicit catalog row
ALLOW-KL-60-203-F,project_selection,KL 60.203 F,,,,true,KL,60,200,steel,F,KAT_NX_KR 2022.pdf,KR 340,344,verified,Allow-list entry derived from an explicit catalog row
ALLOW-KL-60-303-F,project_selection,KL 60.303 F,,,,true,KL,60,300,steel,F,KAT_NX_KR 2022.pdf,KR 340,344,verified,Allow-list entry derived from an explicit catalog row
ALLOW-KL-60-403-F,project_selection,KL 60.403 F,,,,true,KL,60,400,steel,F,KAT_NX_KR 2022.pdf,KR 340,344,verified,Allow-list entry derived from an explicit catalog row
ALLOW-KL-60-503-F,project_selection,KL 60.503 F,,,,true,KL,60,500,steel,F,KAT_NX_KR 2022.pdf,KR 340,344,verified,Allow-list entry derived from an explicit catalog row
ALLOW-KL-60-603-F,project_selection,KL 60.603 F,,,,true,KL,60,600,steel,F,KAT_NX_KR 2022.pdf,KR 340,344,verified,Allow-list entry derived from an explicit catalog row
ALLOW-KL-60-203-E3,project_selection,KL 60.203 E3,,,,true,KL,60,200,stainless_1.4301_1.4303,E3,KAT_NX_KR 2022.pdf,KR 340,344,verified,Allow-list entry derived from an explicit catalog row
ALLOW-KL-60-303-E3,project_selection,KL 60.303 E3,,,,true,KL,60,300,stainless_1.4301_1.4303,E3,KAT_NX_KR 2022.pdf,KR 340,344,verified,Allow-list entry derived from an explicit catalog row
ALLOW-KL-60-403-E3,project_selection,KL 60.403 E3,,,,true,KL,60,400,stainless_1.4301_1.4303,E3,KAT_NX_KR 2022.pdf,KR 340,344,verified,Allow-list entry derived from an explicit catalog row
ALLOW-KL-60-503-E3,project_selection,KL 60.503 E3,,,,true,KL,60,500,stainless_1.4301_1.4303,E3,KAT_NX_KR 2022.pdf,KR 340,344,verified,Allow-list entry derived from an explicit catalog row
