parent_product_code,included_product_code,quantity,unit,source_document,source_printed_page,source_pdf_page,source_table_or_row,note
KSV 60 S,FLM 8X13 F,2,pcs,KAT_NX_KR 2022.pdf,KR 340,344,KSV 60 S,Included accessories (Zubehor inkl.)
KSV 60 F,FLM 8X13 F,2,pcs,KAT_NX_KR 2022.pdf,KR 340,344,KSV 60 F,Included accessories (Zubehor inkl.)
KSV 60 E3,FLM 8X16 E3,2,pcs,KAT_NX_KR 2022.pdf,KR 340,344,KSV 60 E3,Included accessories (Zubehor inkl.)
KSV 60 E5,SKM 8X16 E5,2,pcs,KAT_NX_KR 2022.pdf,KR 340,344,KSV 60 E5,Included accessories (Zubehor inkl.)
KSV 60/320 S,FLM 8X13 F,4,pcs,KAT_NX_KR 2022.pdf,KR 341,345,KSV 60/320 S,Included accessories (Zubehor inkl.)
KSV 60/320 F,FLM 8X13 F,4,pcs,KAT_NX_KR 2022.pdf,KR 341,345,KSV 60/320 F,Included accessories (Zubehor inkl.)
KSV 60/320 E3,FLM 8X16 E3,4,pcs,KAT_NX_KR 2022.pdf,KR 341,345,KSV 60/320 E3,Included accessories (Zubehor inkl.)
KSV 60/320 E5,SKM 8X16 E5,4,pcs,KAT_NX_KR 2022.pdf,KR 341,345,KSV 60/320 E5,Included accessories (Zubehor inkl.)
KWV 60 S,FLM 8X13 F,4,pcs,KAT_NX_KR 2022.pdf,KR 346,350,KWV 60 S,Included accessories (Zubehor inkl.)
KWV 60 F,FLM 8X13 F,4,pcs,KAT_NX_KR 2022.pdf,KR 346,350,KWV 60 F,Included accessories (Zubehor inkl.)
KWV 60 E3,FLM 8X16 E3,4,pcs,KAT_NX_KR 2022.pdf,KR 346,350,KWV 60 E3,Included accessories (Zubehor inkl.)
KWV 60 E5,SKM 8X16 E5,4,pcs,KAT_NX_KR 2022.pdf,KR 346,350,KWV 60 E5,Included accessories (Zubehor inkl.)
KGV 60 S,FLM 8X13 F,2,pcs,KAT_NX_KR 2022.pdf,KR 346,350,KGV 60 S,Included accessories (Zubehor inkl.)
KGV 60 F,FLM 8X13 F,2,pcs,KAT_NX_KR 2022.pdf,KR 346,350,KGV 60 F,Included accessories (Zubehor inkl.)
KGV 60 E3,FLM 8X16 E3,2,pcs,KAT_NX_KR 2022.pdf,KR 346,350,KGV 60 E3,Included accessories (Zubehor inkl.)
KGV 60 E5,SKM 8X16 E5,2,pcs,KAT_NX_KR 2022.pdf,KR 346,350,KGV 60 E5,Included accessories (Zubehor inkl.)
KGS 60.203,FLM 8X13 F,16,pcs,KAT_NX_KR 2022.pdf,KR 346,350,KGS 60.203,Included accessories (Zubehor inkl.)
KGS 60.303,FLM 8X13 F,16,pcs,KAT_NX_KR 2022.pdf,KR 346,350,KGS 60.303,Included accessories (Zubehor inkl.)
KGS 60.403,FLM 8X13 F,16,pcs,KAT_NX_KR 2022.pdf,KR 346,350,KGS 60.403,Included accessories (Zubehor inkl.)
KGS 60.503,FLM 8X13 F,16,pcs,KAT_NX_KR 2022.pdf,KR 346,350,KGS 60.503,Included accessories (Zubehor inkl.)
KGS 60.603,FLM 8X13 F,16,pcs,KAT_NX_KR 2022.pdf,KR 346,350,KGS 60.603,Included accessories (Zubehor inkl.)
KGS 60.203 F,FLM 8X13 F,16,pcs,KAT_NX_KR 2022.pdf,KR 346,350,KGS 60.203 F,Included accessories (Zubehor inkl.)
KGS 60.303 F,FLM 8X13 F,16,pcs,KAT_NX_KR 2022.pdf,KR 346,350,KGS 60.303 F,Included accessories (Zubehor inkl.)
KGS 60.403 F,FLM 8X13 F,16,pcs,KAT_NX_KR 2022.pdf,KR 346,350,KGS 60.403 F,Included accessories (Zubehor inkl.)
KGS 60.503 F,FLM 8X13 F,16,pcs,KAT_NX_KR 2022.pdf,KR 346,350,KGS 60.503 F,Included accessories (Zubehor inkl.)
KGS 60.603 F,FLM 8X13 F,16,pcs,KAT_NX_KR 2022.pdf,KR 346,350,KGS 60.603 F,Included accessories (Zubehor inkl.)
KLAS 60,KLTB 6 F,1,pcs,KAT_NX_KR 2022.pdf,KR 346,350,KLAS 60,Included cable-ladder fixing
KLAB 200,FK 6X12,2,pcs,KAT_NX_KR 2022.pdf,KR 355,359,KLAB 200,Two bolts are included according to the table
KLAB 200,GSM 306,2,pcs,KAT_NX_KR 2022.pdf,KR 355,359,KLAB 200,Two cage nuts are included according to the table
KLAB 300,FK 6X12,2,pcs,KAT_NX_KR 2022.pdf,KR 355,359,KLAB 300,Two bolts are included according to the table
KLAB 300,GSM 306,2,pcs,KAT_NX_KR 2022.pdf,KR 355,359,KLAB 300,Two cage nuts are included according to the table
KLAB 400,FK 6X12,2,pcs,KAT_NX_KR 2022.pdf,KR 355,359,KLAB 400,Two bolts are included according to the table
KLAB 400,GSM 306,2,pcs,KAT_NX_KR 2022.pdf,KR 355,359,KLAB 400,Two cage nuts are included according to the table
KLAB 500,FK 6X12,2,pcs,KAT_NX_KR 2022.pdf,KR 355,359,KLAB 500,Two bolts are included according to the table
KLAB 500,GSM 306,2,pcs,KAT_NX_KR 2022.pdf,KR 355,359,KLAB 500,Two cage nuts are included according to the table
KLAB 600,FK 6X12,2,pcs,KAT_NX_KR 2022.pdf,KR 355,359,KLAB 600,Two bolts are included according to the table
KLAB 600,GSM 306,2,pcs,KAT_NX_KR 2022.pdf,KR 355,359,KLAB 600,Two cage nuts are included according to the table
KLAB 200 F,FK 6X10 E3,2,pcs,KAT_NX_KR 2022.pdf,KR 355,359,KLAB 200 F,Two bolts are included according to the table
KLAB 200 F,GSM 306 E3,2,pcs,KAT_NX_KR 2022.pdf,KR 355,359,KLAB 200 F,Two cage nuts are included according to the table
KLAB 300 F,FK 6X10 E3,2,pcs,KAT_NX_KR 2022.pdf,KR 355,359,KLAB 300 F,Two bolts are included according to the table
KLAB 300 F,GSM 306 E3,2,pcs,KAT_NX_KR 2022.pdf,KR 355,359,KLAB 300 F,Two cage nuts are included according to the table
KLAB 400 F,FK 6X10 E3,2,pcs,KAT_NX_KR 2022.pdf,KR 355,359,KLAB 400 F,Two bolts are included according to the table
KLAB 400 F,GSM 306 E3,2,pcs,KAT_NX_KR 2022.pdf,KR 355,359,KLAB 400 F,Two cage nuts are included according to the table
KLAB 500 F,FK 6X10 E3,2,pcs,KAT_NX_KR 2022.pdf,KR 355,359,KLAB 500 F,Two bolts are included according to the table
KLAB 500 F,GSM 306 E3,2,pcs,KAT_NX_KR 2022.pdf,KR 355,359,KLAB 500 F,Two cage nuts are included according to the table
KLAB 600 F,FK 6X10 E3,2,pcs,KAT_NX_KR 2022.pdf,KR 355,359,KLAB 600 F,Two bolts are included according to the table
KLAB 600 F,GSM 306 E3,2,pcs,KAT_NX_KR 2022.pdf,KR 355,359,KLAB 600 F,Two cage nuts are included according to the table
KLAB 200 E3,FK 6X10 E3,2,pcs,KAT_NX_KR 2022.pdf,KR 355,359,KLAB 200 E3,Two bolts are included according to the table
