code,description_en,category,product_family,system,catalog_version,pack_quantity,pack_unit,order_unit,ean,height_mm,width_mm,length_mm,material_code,finish_code,weight_value,weight_unit,weight_basis_quantity,weight_basis_unit,approval_number,dop_number,indoor_only,engineering_verification_required,is_orderable,source_document,source_printed_page,source_pdf_page,source_table_or_row,engineering_note
KL 60.203,"Cable ladder, rung spacing 300 mm, continuously perforated side rails",straightSection,KL,KL,2022-p0,6,m,m,288007,60,200,6000,steel,S,256.72,kg,100,kg_per_100_m,,,false,false,true,KAT_NX_KR 2022.pdf,KR 340,344,KL 60 S width 200,
KL 60.303,"Cable ladder, rung spacing 300 mm, continuously perforated side rails",straightSection,KL,KL,2022-p0,6,m,m,288106,60,300,6000,steel,S,276.45,kg,100,kg_per_100_m,,,false,false,true,KAT_NX_KR 2022.pdf,KR 340,344,KL 60 S width 300,
KL 60.403,"Cable ladder, rung spacing 300 mm, continuously perforated side rails",straightSection,KL,KL,2022-p0,6,m,m,288205,60,400,6000,steel,S,296.18,kg,100,kg_per_100_m,,,false,false,true,KAT_NX_KR 2022.pdf,KR 340,344,KL 60 S width 400,
KL 60.503,"Cable ladder, rung spacing 300 mm, continuously perforated side rails",straightSection,KL,KL,2022-p0,6,m,m,288304,60,500,6000,steel,S,315.9,kg,100,kg_per_100_m,,,false,false,true,KAT_NX_KR 2022.pdf,KR 340,344,KL 60 S width 500,
KL 60.603,"Cable ladder, rung spacing 300 mm, continuously perforated side rails",straightSection,KL,KL,2022-p0,6,m,m,288403,60,600,6000,steel,S,335.63,kg,100,kg_per_100_m,,,false,false,true,KAT_NX_KR 2022.pdf,KR 340,344,KL 60 S width 600,
KL 60.203 F,"Cable ladder, rung spacing 300 mm, continuously perforated side rails",straightSection,KL,KL,2022-p0,6,m,m,569908,60,200,6000,steel,F,283.4,kg,100,kg_per_100_m,,,false,false,true,KAT_NX_KR 2022.pdf,KR 340,344,KL 60 F width 200,
KL 60.303 F,"Cable ladder, rung spacing 300 mm, continuously perforated side rails",straightSection,KL,KL,2022-p0,6,m,m,570003,60,300,6000,steel,F,305.1,kg,100,kg_per_100_m,,,false,false,true,KAT_NX_KR 2022.pdf,KR 340,344,KL 60 F width 300,
KL 60.403 F,"Cable ladder, rung spacing 300 mm, continuously perforated side rails",straightSection,KL,KL,2022-p0,6,m,m,570102,60,400,6000,steel,F,326.8,kg,100,kg_per_100_m,,,false,false,true,KAT_NX_KR 2022.pdf,KR 340,344,KL 60 F width 400,
KL 60.503 F,"Cable ladder, rung spacing 300 mm, continuously perforated side rails",straightSection,KL,KL,2022-p0,6,m,m,570201,60,500,6000,steel,F,348.5,kg,100,kg_per_100_m,,,false,false,true,KAT_NX_KR 2022.pdf,KR 340,344,KL 60 F width 500,
KL 60.603 F,"Cable ladder, rung spacing 300 mm, continuously perforated side rails",straightSection,KL,KL,2022-p0,6,m,m,570300,60,600,6000,steel,F,370.2,kg,100,kg_per_100_m,,,false,false,true,KAT_NX_KR 2022.pdf,KR 340,344,KL 60 F width 600,
